week,state,state_name,disease,cases,incidence_per_capita,,latitude,longitude
192802,RI,RHODE ISLAND,MEASLES,5,0.74,,55.378051,-3.435973
192802,SC,SOUTH CAROLINA,MEASLES,1459,83.9,,12.262776,-61.604171
192802,SD,SOUTH DAKOTA,MEASLES,45,6.57,,42.315407,43.356892
192802,TN,TENNESSEE,MEASLES,445,16.96,,3.933889,-53.125782
192802,TX,TEXAS,MEASLES,36,0.63,,49.465691,-2.585278
192802,VT,VERMONT,MEASLES,2,0.56,,7.946527,-1.023194
192802,WA,WASHINGTON,MEASLES,269,17.34,,36.137741,-5.345374
192802,WI,WISCONSIN,MEASLES,28,0.96,,71.706936,-42.604303
192802,WV,WEST VIRGINIA,MEASLES,71,4.19,,13.443182,-15.310139
192803,AL,ALABAMA,MEASLES,210,7.95,,9.945587,-9.696645
192803,AR,ARKANSAS,MEASLES,206,11.15,,16.995971,-62.067641
192803,AZ,ARIZONA,MEASLES,19,4.5,,1.650801,10.267895
192803,CA,CALIFORNIA,MEASLES,70,1.31,,39.074208,21.824312
192803,CO,COLORADO,MEASLES,29,2.86,,-54.429579,-36.587909
192803,CT,CONNECTICUT,MEASLES,139,8.81,,15.783471,-90.230759
192803,DE,DELAWARE,MEASLES,37,15.88,,13.444304,144.793731
192803,FL,FLORIDA,MEASLES,6,0.42,,11.803749,-15.180413
192803,ID,IDAHO,MEASLES,2,0.45,,4.860416,-58.93018
192803,IL,ILLINOIS,MEASLES,46,0.61,,31.354676,34.308825
192803,IN,INDIANA,MEASLES,55,1.71,,22.396428,114.109497
192803,KS,KANSAS,MEASLES,26,1.41,,-53.08181,73.504158
192803,KY,KENTUCKY,MEASLES,135,5.26,,15.199999,-86.241905
192803,LA,LOUISIANA,MEASLES,48,2.33,,45.1,15.2
192803,MA,MASSACHUSETTS,MEASLES,1466,34.76,,18.971187,-72.285215
192803,MD,MARYLAND,MEASLES,345,21.43,,47.162494,19.503304
192803,ME,MAINE,MEASLES,54,6.78,,-0.789275,113.921327
192803,MI,MICHIGAN,MEASLES,438,9.39,,53.41291,-8.24389
192803,MN,MINNESOTA,MEASLES,4,0.15,,31.046051,34.851612
192803,MO,MISSOURI,MEASLES,61,1.69,,54.236107,-4.548056
192803,MT,MONTANA,MEASLES,4,0.74,,20.593684,78.96288
192803,NC,NORTH CAROLINA,MEASLES,3418,110.9,,-6.343194,71.876519
